,DOEID,REGIONC,NWEIGHT,HDD65,CDD65
0,1,2,2471.68,4742,1080
1,2,4,8599.17,2662,199
2,3,1,8969.92,6233,505
3,4,2,18003.64,6034,672
4,5,1,5999.61,5388,702
5,6,2,4232.49,8866,270
6,7,1,7862.34,5213,749
7,8,3,6297.04,1086,2647
8,9,1,12156.72,4826,1027
9,10,2,3242.22,4687,1205
10,11,4,8812.43,830,1405
11,12,1,15489.57,4732,1034
12,13,4,7951.52,6,3890
13,14,3,7118.12,2395,2139
14,15,4,14249.9,5789,1122
15,16,3,37518.83,4801,946
16,17,3,15622.34,3423,1604
17,18,1,7553.73,4860,845
18,19,4,5115.11,6692,279
19,20,2,4132.53,8059,471
20,21,4,7169.31,1135,1578
21,22,2,17230.62,6225,673
22,23,1,10487.26,5534,607
23,24,3,7495.46,454,3748
24,25,2,1137.56,8510,238
25,26,1,4812.84,6486,550
26,27,2,8884.94,8166,305
27,28,4,8324.53,871,1364
28,29,3,11829.92,520,3739
29,30,3,8101.63,1924,2935
30,31,1,3912.87,6510,424
31,32,4,4993.18,1215,792
32,33,2,2711.43,5205,941
33,34,1,6449.75,5563,655
34,35,3,5634.24,1836,2966
35,36,3,15141.21,5339,809
36,37,3,12153.0,3981,1573
37,38,2,3512.47,5456,872
38,39,3,11960.44,1946,2902
39,40,3,11407.15,1727,2542
40,41,2,4702.48,7164,461
41,42,4,8393.98,2527,1833
42,43,3,8491.42,3071,1645
43,44,4,7959.39,5989,466
44,45,2,7960.93,7458,388
45,46,4,5535.93,1228,1250
46,47,3,37665.4,4537,904
47,48,2,8810.31,4773,926
48,49,3,6861.29,3158,1685
49,50,1,10252.69,4740,1035
50,51,2,5137.6,4660,1352
51,52,3,5524.68,2261,2620
52,53,1,10037.59,4755,877
53,54,3,7489.17,1398,2844
54,55,4,18613.77,2750,2069
55,56,3,7535.95,2409,2322
56,57,3,7535.95,2472,2264
57,58,1,5629.1,5966,579
58,59,2,14563.97,5734,698
59,60,1,5862.85,6233,514
60,61,2,18388.42,5229,896
61,62,3,6905.03,2243,2618
62,63,3,11749.93,3220,1939
63,64,4,9737.42,5829,905
64,65,4,6466.42,1131,1203
65,66,3,7180.05,138,4528
66,67,4,10168.07,2824,115
67,68,2,5303.53,9328,357
68,69,4,5403.9,1077,3731
69,70,3,15075.45,3407,1772
70,71,4,16368.08,827,4851
71,72,1,10024.98,4589,930
72,73,3,30067.83,2803,1929
73,74,1,9815.47,4796,865
74,75,3,6506.7,3131,1674
75,76,2,15220.06,6185,665
76,77,1,8260.04,6571,371
77,78,1,4646.98,5928,630
78,79,2,20603.47,5852,657
79,80,1,10207.48,6576,441
80,81,3,6583.36,125,4865
81,82,1,4739.7,5688,582
82,83,2,22756.57,5511,791
83,84,2,4124.85,4853,1144
84,85,3,9419.69,3829,1423
85,86,4,7951.52,49,4209
86,87,4,4357.04,7761,37
87,88,4,7305.68,2658,1780
88,89,3,7577.54,2268,2532
89,90,2,14727.35,6499,382
90,91,3,7607.15,2267,2534
91,92,4,9663.48,3707,1016
92,93,1,11849.23,4287,1324
93,94,1,7401.14,4906,875
94,95,3,14918.45,3346,1317
95,96,2,2778.26,4194,1528
96,97,4,11330.03,7878,323
97,98,1,7553.73,4706,893
98,99,3,15636.59,3861,1439
99,100,4,2767.96,1211,910
100,101,3,7133.12,2082,2774
101,102,2,2599.86,5300,968
102,103,2,2778.26,4824,1153
103,104,1,15489.56,4885,787
104,105,3,13964.37,4177,1251
105,106,4,7169.31,1108,1226
106,107,1,7559.64,6939,281
107,108,3,8620.52,3353,1621
108,109,3,13382.14,3591,1403
109,110,2,5067.91,8621,318
110,111,4,10168.07,2796,130
111,112,1,13371.72,4832,853
112,113,2,15376.07,6941,390
113,114,4,11795.05,5132,322
114,115,3,8064.03,3704,1250
115,116,1,7364.81,6496,388
116,117,1,2393.02,4799,894
117,118,2,4751.97,6997,512
118,119,3,6442.28,2197,2624
119,120,1,7017.63,5552,685
120,121,3,10042.74,3519,1458
121,122,1,9560.85,6403,511
122,123,1,4311.35,5507,630
123,124,4,9355.45,3566,896
124,125,3,13918.65,2429,2063
125,126,2,6014.3,6772,670
126,127,1,4310.36,6008,575
127,128,4,7188.89,5284,751
128,129,4,8236.3,6141,716
129,130,4,6256.73,3026,597
130,131,3,8284.87,3873,1243
131,132,1,6038.37,6045,601
132,133,3,6297.04,1024,2621
133,134,4,7727.97,789,1950
134,135,4,7131.08,2610,214
135,136,3,8955.85,494,4281
136,137,3,8064.03,3679,1293
137,138,3,6737.65,1849,2911
138,139,4,12873.31,5413,775
139,140,3,10147.7,1334,2817
140,141,2,15560.51,4465,1269
141,142,1,11849.23,4314,1314
142,143,4,5403.9,1022,3872
143,144,2,6035.85,6240,853
144,145,2,4232.49,7491,555
145,146,3,15942.39,1396,2955
146,147,3,10506.97,1322,3018
147,148,1,7564.85,6571,442
148,149,3,7756.87,2545,2379
149,150,1,15489.57,4864,793
150,151,3,18040.12,3508,1419
151,152,4,8500.6,2408,705
152,153,3,15966.07,3377,1723
153,154,3,7756.87,2522,2419
154,155,3,10380.28,3609,1817
155,156,2,4224.0,4782,1330
156,157,1,18204.89,5447,746
157,158,3,11362.76,1605,2685
158,159,3,18935.07,4350,1167
159,160,3,6590.83,2710,1911
160,161,2,20603.47,5744,684
161,162,3,12998.79,4628,1164
162,163,3,15075.45,3224,1868
163,164,1,15910.29,4848,848
164,165,2,4751.97,5726,785
165,166,3,6787.05,1421,3529
166,167,3,13894.73,5037,894
167,168,2,4232.49,5965,702
168,169,3,7348.35,3330,1659
169,170,1,6622.69,6098,608
170,171,4,7757.7,6321,666
171,172,4,9131.57,6070,714
172,173,1,10734.45,7176,254
173,174,3,6905.04,2350,2457
174,175,1,9130.42,4704,894
175,176,4,33453.18,7025,565
176,177,3,7217.39,840,4617
177,178,2,3487.09,5122,1033
178,179,2,3286.37,4183,1532
179,180,1,4197.34,6498,547
180,181,4,5128.66,5705,506
181,182,2,14615.7,6278,464
182,183,3,12002.86,4254,1037
183,184,3,44993.57,6576,146
184,185,1,6814.27,5589,674
185,186,2,22684.31,6267,627
186,187,4,11330.03,7442,307
187,188,4,7169.31,1228,1857
188,189,3,7489.17,529,4764
189,190,4,8506.67,1015,1129
190,191,2,14615.7,6690,473
191,192,3,8133.28,2093,2756
192,193,4,10576.38,1073,4290
193,194,3,14918.45,2755,1952
194,195,4,5744.19,2302,1512
195,196,2,3975.02,6295,882
196,197,3,17116.73,4110,1683
197,198,1,12606.01,6674,315
198,199,3,10631.82,2332,2392
199,200,1,11336.66,4774,998
200,201,3,10096.33,3944,1378
201,202,4,4875.64,6499,374
202,203,3,8572.17,3541,1818
203,204,4,8854.25,6064,436
204,205,3,9129.75,1068,3648
205,206,1,5862.86,5847,545
206,207,4,7074.05,3073,2286
207,208,3,6612.77,624,3551
208,209,4,11330.02,7550,285
209,210,1,10438.12,6534,371
210,211,1,14076.75,5203,831
211,212,1,8401.69,4730,1013
212,213,4,5403.16,6540,185
213,214,2,4232.49,7787,497
214,215,4,5666.76,2368,580
215,216,1,3973.25,7255,325
216,217,3,7530.25,65,4838
217,218,4,8500.6,2627,650
218,219,3,5991.05,487,3909
219,220,4,9510.02,2670,1729
220,221,2,2603.35,4868,1042
221,222,2,8639.69,8128,253
222,223,4,7264.47,1285,1193
223,224,3,18117.11,3347,1618
224,225,3,6905.04,2311,2489
225,226,2,4751.97,7060,409
226,227,4,8787.33,2487,506
227,228,1,18595.22,5055,853
228,229,1,5746.67,4678,1051
229,230,4,6589.14,1142,1941
230,231,4,14709.45,6336,336
231,232,3,7274.58,1372,3646
232,233,4,7305.36,1143,1939
233,234,1,12002.03,4519,1081
234,235,2,5481.64,7630,633
235,236,4,7131.08,3704,1017
236,237,3,14918.45,2329,2260
237,238,1,7742.86,5011,974
238,239,3,21433.44,3139,1758
239,240,3,7924.05,736,3463
240,241,4,9539.46,1009,4607
241,242,2,3512.47,5069,1090
242,243,1,4197.34,6444,421
243,244,2,2742.57,5081,1087
244,245,3,8050.41,468,3769
245,246,3,10435.16,2518,2424
246,247,1,4162.76,7000,338
247,248,2,14934.32,8430,269
248,249,2,16137.47,6669,533
249,250,2,4193.99,7379,681
250,251,2,2935.68,4656,1369
251,252,2,18522.27,6024,674
252,253,1,11849.23,4390,1288
253,254,1,11231.56,5334,610
254,255,4,6277.22,2384,405
255,256,3,8955.85,1403,2834
256,257,4,7326.18,1347,1317
257,258,1,10878.44,5920,671
258,259,2,4702.48,4824,1300
259,260,4,3715.51,6755,265
260,261,1,10207.48,6826,385
261,262,3,8218.57,1290,3227
262,263,4,8122.52,1387,1277
263,264,1,6120.16,5552,684
264,265,1,5897.76,6858,346
265,266,3,4877.13,678,3585
266,267,4,14822.51,4362,1387
267,268,1,6741.19,4751,879
268,269,1,10062.81,4734,884
269,270,3,9345.73,1220,4049
270,271,3,10669.31,1291,3398
271,272,2,4132.53,7885,504
272,273,3,21237.82,4983,865
273,274,3,6297.04,1009,2647
274,275,4,9918.94,1738,1449
275,276,4,6765.29,2595,226
276,277,1,5629.1,6975,325
277,278,4,10166.72,1028,4226
278,279,2,18915.3,7006,299
279,280,4,10649.18,1504,866
280,281,1,8580.7,4802,1015
281,282,2,8639.69,6872,365
282,283,1,15254.19,5157,754
283,284,3,6983.24,579,3645
284,285,4,6171.51,1060,806
285,286,1,14560.29,4572,1214
286,287,3,8890.67,1956,2814
287,288,2,5126.84,6774,591
288,289,3,9713.22,2610,1941
289,290,3,10625.15,4276,1103
290,291,3,8050.41,500,3618
291,292,1,7341.32,5396,645
292,293,4,10899.67,2433,994
293,294,4,18357.91,7885,87
294,295,2,14615.7,6452,527
295,296,1,5629.1,5768,566
296,297,4,6822.46,1430,509
297,298,4,6466.42,1217,1870
298,299,1,10916.0,4758,907
299,300,1,17792.75,5333,781
300,301,2,4269.66,7913,438
301,302,4,6913.02,1460,901
302,303,3,7707.69,3056,1654
303,304,2,6594.24,4561,1489
304,305,3,7133.12,2256,2569
305,306,1,7364.81,6644,354
306,307,4,7169.31,1132,1581
307,308,3,6309.98,1223,2725
308,309,4,9169.97,1010,4276
309,310,3,10329.37,4092,1531
310,311,1,12550.17,5792,644
311,312,3,34308.86,3353,1592
